"POLITICAL_UNIT","NAME","WGMS_ID","GEN_LOCATION","SPEC_LOCATION","LATITUDE","LONGITUDE","PRIM_CLASSIFIC","FORM","FRONTAL_CHARS","EXPOS_ACC_AREA","EXPOS_ABL_AREA","PARENT_GLACIER","REMARKS","GLACIER_REGION_CODE","GLACIER_SUBREGION_CODE"
"AF","UNNAMED 13646",13646,,,38.27794,71.03402,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13647",13647,,,38.27248,71.08046,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13648",13648,,,38.31246,71.10922,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13649",13649,,,38.12577,71.12888,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13650",13650,,,38.11832,71.09248,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13651",13651,,,38.23402,71.09562,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13940",13940,,,38.00220,71.02604,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13941",13941,,,38.11124,71.07531,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13942",13942,,,38.03313,71.04876,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13943",13943,,,38.01166,71.05762,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13944",13944,,,37.99535,71.05266,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13945",13945,,,37.96603,71.03857,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13946",13946,,,37.95387,71.01038,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13947",13947,,,37.66561,71.20839,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13948",13948,,,37.64750,71.23222,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13949",13949,,,37.65403,71.26119,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13950",13950,,,37.65241,71.34633,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13951",13951,,,37.64431,71.37448,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 13981",13981,,,37.49608,71.27525,,,,,,,"Information derived from RGI5.0.","ASC","ASC-02"
"AF","UNNAMED 15944",15944,,,36.88780,74.17250,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 15946",15946,,,36.94150,74.09610,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 15980",15980,,,37.02970,74.38050,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
"AF","UNNAMED 15981",15981,,,37.00600,74.02000,,,,,,,"Information derived from RGI5.0.","ASW","ASW-02"
