Country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019.1,2008-18,2019.2,Unnamed: 59,Unnamed: 60
Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.707,1.069,1.1320000000000001,1.345,1.3,1.8980000000000001,2.1390000000000002,2.085,2.337,1.678,1.8659999999999999,2.3129999999999997,2.4859999999999998,3.4779999999999998,3.9559191919191923,3.985919191919192,4.526052632,4.878052632,5.7940526320000005,7.20070790761281,7.596409537285306,8.237166888359386,9.059358985751958,9.118411329679404,9.197463354355932,10.020728148384515,10.473840900843408,10.130083521035113,10.763789473684211,10.72472947368421,11.408309473684213,11.996810210526316,11.802480457203615,15.693008357256778,19.27594981392876,20.973957947900054,23.1063068261563,23.67985396065922,24.73211496012759,39.848569856459335,45.564357501329084,45.944904284954816,47.07898070175439,49.29581165665162,0.04322686261579989,0.1414801212700696,0.017571021448587187,0.0,0.0
Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161,0.463,0.518,0.579,0.592,0.598,1.0190000000000001,0.915,0.964,1.296,1.353,1.424,1.641,3.394,4.418,4.633,4.675,5.126,5.835512475377544,6.369522980958634,6.5047606697307945,6.2285254000069115,6.426443480664893,6.1965551543007225,5.901246224556796,6.16058603172409,6.0840013131976365,6.3846451083388045,6.2734970453053185,6.100060368399868,6.976712538701905,7.290834335946815,8.16551914,7.542386849999998,8.506912840999998,8.170158095999998,8.170422040777776,8.716160764111109,9.056245850888885,10.518245491777767,11.612804666888877,13.78383095566665,16.432147187222196,17.958810833333303,19.536797775989243,23.26351938811893,37.78882120789369,0.6183919846822261,0.10364010086118203,0.013469464557870459,0.0,0.0
US,13.332232095652646,14.06200689527286,14.07357074264804,15.546045096175943,16.22706037653718,16.23590253395494,16.58441397358133,18.672978440292397,19.98969177185428,20.40426480582133,19.754301961701323,22.564753541853655,23.536121862459233,24.67878665730967,25.756037242299385,26.65611631812324,27.37760327329065,26.405048945355972,29.810294113669265,35.607182700809915,36.40945199964598,38.720077251177365,42.67961297377268,42.404126916216306,51.24077698564594,60.64687788942052,64.01077461672078,68.14094648174127,70.43607446512935,70.33865844460962,66.97576619867787,68.63403758106347,69.67402688649226,69.19804372155645,71.52939390906374,72.75109334524501,74.21017169345146,82.84982312663247,83.24326502542407,86.9301121400648,91.33741416896791,100.76441679680872,109.76286708554585,131.10685948023348,149.86827801253258,173.68321202969088,201.90456711574262,228.31726030524823,266.2403230191412,296.77657492822965,315.8075258692185,367.4281844976077,417.7293073046252,451.62476176501866,489.8006048272196,0.08053132753045955,0.1248593165192815,0.17458474957047967,0.0,0.0
Total North America,13.332232095652646,14.06200689527286,14.07357074264804,15.546045096175943,16.22706037653718,16.23590253395494,16.58441397358133,18.672978440292397,20.15069177185428,20.867264805821332,20.272301961701324,23.850753541853656,25.197121862459234,26.40878665730967,28.120037242299386,28.87111631812324,30.239603273290648,29.840048945355974,33.24829411366927,39.36818270080992,39.72845199964598,43.98007725117736,49.41061297377268,49.523126916216306,59.393776985645935,69.72879708133972,73.83220628401752,79.0365220946999,81.81888776686014,82.36123647661654,80.60291758695558,82.4270022726495,83.81243999940844,84.4179887390325,86.73180655194078,88.33320180793974,90.5043968871413,99.42372439587575,100.35006108516109,104.98473594969582,110.22766278265212,119.71511312049293,130.26659013707217,151.0794980334371,173.73170841056714,201.67532260773075,231.93477091453155,261.9418126231823,301.53298164668934,335.2925208440239,372.08824291290006,430.95135283227006,483.2110093655692,521.967261854892,576.8852376917649,0.10113851198054546,0.12519229533097542,0.2056252355769373,0.0,0.0
Argentina,0.0,0.0,0.0,0.0,0.0,0.04754099125364432,0.049864613702623906,0.06435315192743764,0.049042434402332365,0.05006767142857142,0.05492264150943397,0.05020279154518951,0.05385510781671158,0.05413666208791209,0.08439376339285716,0.08625156794425087,0.0747225,0.09591246543778802,0.13731478405315617,0.09739279181184668,0.10332161428571429,0.10707892080745342,0.10815682330827067,0.12111604735152487,0.11937690789473686,0.10676328373015874,0.09960040431266848,0.1018654945054945,0.10743840277777778,0.11929003759398496,0.11559245729813666,0.3610154920634921,0.46022404999999994,0.4964392030075187,0.6852621428571428,0.7098083101045295,0.6587298502538071,0.9237006378737542,1.0920988583569404,0.972811090287307,1.1458735658582475,1.6371403145608934,1.6374105957797835,1.7356311616722535,1.7656637744454935,2.03869230654589,2.2184103780382434,2.8318565766127977,2.9257790051090913,2.9374602520582753,2.986276560844311,2.525040642560764,3.011638507707831,4.013160270653152,8.19297833926771,1.0340006794797256,0.08090091154975387,0.0029203089124440534,0.0,0.0
Brazil,0.0,0.0,0.0,0.0,0.0,0.5146915000000002,0.6333952500000001,0.7165701875000001,0.7508003750000001,0.7851518,0.8671775749999999,0.864337725,1.1168454625,1.3319440750000002,1.7760194000000002,1.8055082625,1.8736228750000001,2.1784744749999994,2.9844549499999995,2.8516788875000003,3.067125588592233,3.1939324238673135,3.565697314724919,3.339783794093851,3.403162338511326,3.8590625000000003,3.9996125625,4.929360737945206,4.983937033224442,5.388223648777489,5.593740488958306,6.754709628222037,7.382950998212702,7.510233012160118,8.378002280958722,7.856363000000001,9.025307,10.287146964757708,11.955463,12.536055704810552,13.683839278459237,15.082658984288528,18.72622591999538,20.969257301833977,24.113872126241535,34.118933451935845,35.333809719859126,40.81665086016292,47.552502422401915,59.305516260290446,71.56494040305446,84.90883214777287,96.117176985405,106.31881041921892,117.650277296403,0.10250010013564248,0.16919158932928724,0.04193531816061274,0.0,0.0
Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.057,0.051000000000000004,0.046,0.051000000000000004,0.073,0.08,0.091,0.094,0.105,0.11,0.137,0.20800000000000002,0.201,0.195,0.28,0.271,0.327,0.321,0.963,1.033,1.743,1.75,1.786,1.879,1.738,1.743,1.161,1.45,1.375,1.69,1.788,1.702,2.036,1.797,1.438,2.7072000000000003,3.626344456000003,3.470696035600001,3.737803238000003,4.652021742000005,6.39190135470219,7.447838328000004,6.891706169000016,9.040877904999991,11.72431918103591,14.970817784080335,17.863867514976658,21.592622893363913,0.2042750867251073,0.1658256871035071,0.007696484290250204,0.0,0.0
Colombia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.189,0.202,0.192,0.20600000000000002,0.216,0.227,0.212,0.231,0.234,0.255,0.267,0.266,0.268,0.274,0.274,0.274,0.269,0.34,0.389,0.444,0.47700000000000004,0.496,0.483,0.532,0.457,0.49783501369863015,0.49866875,0.49565125,0.501405,0.5269417260273973,0.56201125,0.5827074785004406,0.5570273758671577,0.5632674913525526,1.060995117674014,1.1485522393494332,1.4196596764757563,1.5309132887062111,1.4040585232067764,1.7991533138023459,1.8912775779027786,2.044691676648887,1.994330703079284,2.1864662859270725,2.2301341838870727,0.016211255258246737,0.13837614495524364,0.000794910039238999,0.0,0.0
Ecuador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00324057,0.10286867292999999,0.145570603742,0.219733048,0.21103361,0.219732092266,0.23899672458799998,0.281603159999,0.299077269997,0.35615451132500003,0.495696345126,0.5426152921080001,0.612510058939,0.5417299999999999,0.546304746831,0.706702665103,0.2888356671018091,0.09317907769608502,0.00025189741823883766,0.0,0.0
Peru,0.0,0.0,0.0,0.0,0.0,0.0,0.227,0.227,0.23,0.266,0.266,0.245,0.242,0.215,0.163,0.085,0.076,0.151,0.145,0.14200000000000002,0.169,0.154,0.136,0.136,0.145,0.136,0.133,0.133,0.109,0.11900000000000001,0.14200000000000002,0.13740000000000002,0.1546,0.1265,0.1396,0.1588,0.1642,0.1872,0.19720000000000001,0.1542,0.3492,0.3492,0.41819999999999996,0.4612,0.4612,0.6742,0.6762,0.7289,1.1581000000000001,1.7478,1.7316294744886702,1.9389334071582063,2.392221611,3.492425243634555,4.0220689778629835,0.14740882785417408,0.21704534213974003,0.0014336280893387358,0.0,0.0
