Country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Trinidad & Tobago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000127,0.000635,0.000965,0.001498,0.002175,0.002339,0.002686,0.002881,0.00313,0.0035350000000000004,0.004004,0.004004,0.004004,0.004004,0.004488000000000001,0.005151,0.005151,0.005151,0.004669990925118327,0.004669990925118327
Venezuela,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00246,0.00298,0.00522,0.005347317073170732,0.00674780487804878,0.008784878048780488,0.010035508338020782,0.0100080889163322,0.008896079028454613,0.011831785224499115
Central America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4000000432133675e-05,6.899999827146531e-05,0.00011699999868869782,0.00019300000369548798,0.0002409999966621399,0.0006777777837382423,0.0006847777830229865,0.0007807777987586127,0.0009667777882681953,0.0010837777720557318,0.0011937777863608467,0.00167155561182234,0.003880889486626221,0.005075458725482422,0.015774872036073487,0.5997839797751267,1.1820129585172945,1.4656384906961284,1.8044201732316059,1.860138633227734
Other Caribbean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010101010101010102,0.00012399999797344207,0.0003239999979734421,0.00034000000059604646,0.00034000000059604646,0.00045500000119209287,0.005058138183010275,0.004414269095319835,0.006245111112958855,0.009853888879054123,0.019648989904577835,0.04581593940499606,0.08608598403723822,0.204296163785623,0.2522031992410938,0.33515680918971424,0.4375435621993584,0.5544765034292922,0.6956452039005666,0.8118083495596473,1.2777954110908198
Other South America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2e-05,8.2e-05,0.000109,0.00013900000000000002,0.000212,0.000244,0.00029,0.000391,0.00044300000000000003,0.000475,0.009265338376566618,0.03509377777157889,0.053932298437390114,0.046764843334287015,0.0714418103387741,0.13018561937602258,0.23241122639775136,0.3535378840649901,0.6255696183974215,0.7495322040544949
Total S. & Cent. America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7e-05,0.00012701010101010102,0.002198013697035713,0.003821749996244908,0.0062292499992847436,0.008640000004291534,0.011104726025251492,0.017943555896748516,0.008179921878342822,0.010424950911717468,0.014564053667322318,0.02482673027663357,0.06282494556792352,0.13150743742063944,0.34085236850963935,0.5405826566852339,1.140130777729411,2.881463000672444,4.914458086828435,7.598839726505207,12.73912955986322,17.617847531085598
Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.003,0.005,0.009000000000000001,0.015000000000000001,0.018000000000000002,0.021018375000000002,0.022386875,0.024238375000000003,0.03011991000000001,0.04891428,0.08881314000000001,0.17406996000000002,0.3374830500000001,0.625974,0.7852460000000001,0.937098,1.0960160000000003,1.268971,1.437640969,1.351575863
Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.006,0.042,0.166,0.56,1.169,2.148,2.644,2.8862,3.0562,3.0951,3.3073,3.9018,3.9466412478592248
Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.015,0.101,0.8140000000000001,1.361,1.252,1.383,1.3860000000000001,1.402965,1.342775,1.8307057164385918
Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6464e-05,1.6464e-05,1.6464e-05,0.002,0.011293959,0.035,0.057,0.066,0.0787,0.07490000000000001,0.07840723094195129
