,Country,Wind (2018),Solar (2018),Other renewables* (2018),Total (2018),Wind (2019),Solar (2019),Other renewables* (2019),Total (2019),Wind Growth Rate (2019),Solar Growth Rate (2019),Other renewables* Growth Rate (2019),Total Growth Rate (2019)
1,Canada,33.18639191919193,3.8541414141414148,10.038447368421052,47.078980701754396,34.17211630454893,4.314705050505051,10.808990301597637,49.295811656651615,0.0297026681224406,0.11949837509172867,0.07675917449152148,0.04708748834094045
2,Mexico,13.088611111111073,3.179999999999991,6.994908277007866,23.26351938811893,17.598450412231077,12.43931414141414,7.751056654248469,37.78882120789369,0.3445620977531796,2.911734006734018,0.1080998273738698,0.6243810997571191
3,US,275.4038272727273,94.3080808080808,81.9128536842105,451.62476176501866,303.10204949494954,108.35858585858587,78.3399694736842,489.8006048272196,0.10057312019412556,0.148985165747336,-0.04361811424981532,0.08453000431819535
4,Total North America,321.6788303030303,101.3422222222222,98.94620932963943,521.967261854892,354.87261621172956,125.11260505050507,96.90001642953031,576.8852376917649,0.10318921477496623,0.2345555712816263,-0.020679851345211442,0.10521344890810469
6,Argentina,1.4127429999999996,0.10813,2.492287270653153,4.013160270653152,4.995966423999997,0.7996979130000003,2.397314002267712,8.19297833926771,2.5363590008940045,6.395708064366968,-0.03810687054568607,1.0415278201521416
7,Brazil,48.475141213601034,3.4614348342259724,54.38223437139191,106.31881041921892,55.83320041123813,5.562710640218685,56.25436624494618,117.650277296403,0.15179036127433898,0.607053406066097,0.03442543130480713,0.10658007583515738
8,Chile,3.5878947166,5.118720829440002,9.157251968936658,17.86386751497666,5.30019271104636,6.300226398623749,9.992203783693803,21.592622893363913,0.4772430992816272,0.23082047420683538,0.09117929894137222,0.20873169683223125
9,Colombia,0.055437175930000006,0.01199982099,2.1190292890070728,2.186466285927073,0.05953683606,0.12306651466000001,2.0475308331670727,2.2301341838870727,0.0739514605718119,9.25569587767659,-0.03374113619425356,0.019971905462738304
10,Ecuador,0.08025777129100001,0.03807932406500003,0.42796765147500004,0.546304746831,0.08552693725000009,0.1664522795829998,0.45472344827000005,0.706702665103,0.06565303115501475,3.3711983778617434,0.06251826908595914,0.29360520698828774
11,Peru,1.5024381678166665,0.7454005400000001,1.2445865358178885,3.492425243634555,1.6461619703125003,0.7617257604775,1.6141812470729833,4.0220689778629835,0.09566037762784774,0.021901272673480854,0.296961842843827,0.1516549953914632
12,Trinidad & Tobago,0.0,0.004669990925118327,0.0,0.004669990925118327,0.0,0.004669990925118327,0.0,0.004669990925118327,0.0,0.0,0.0,0.0
13,Venezuela,0.0,0.008896079028454613,0.0,0.008896079028454613,0.14786666341463414,0.011831785224499115,0.0,0.15969844863913327,0.0,0.33000001311302185,0.0,16.951554626294204
14,Other S. & Cent. America,10.638056898365004,3.2417981411886756,13.60106656899124,27.480921608544918,11.08979066877184,3.887466248373049,14.611871589254504,29.589128506399387,0.042463936292375326,0.19916974440229196,0.07431807021427095,0.07671529098932917
15,Total S. & Cent. America,65.7519689436037,12.739129559863223,83.42442365627291,161.91552215973985,79.15824262209347,17.6178475310856,87.37219114867224,184.14828130185134,0.20389159281281,0.38297106158599736,0.04732148355816057,0.13731085720229763
17,Austria,6.0304294490000006,1.437640969,4.853579626,12.321650044000002,7.435472714,1.351575863,4.786632514833,13.573681091833,0.23299223991966134,-0.05986550735255236,-0.013793347657958033,0.10161228758827412
18,Belgium,7.4647,3.9018,5.4708000000000006,16.8373,9.532237328469753,3.9466412478592248,5.127103868830204,18.60598244515918,0.27697527408599854,0.011492451652884483,-0.06282374262809765,0.10504549097296967
19,Czech Republic,0.60933,2.339677,4.827179,7.776186,0.7000000000000001,2.2819000000000003,4.9248,7.906700000000001,0.1488027833850294,-0.02469443431721552,0.020223198683951837,0.016783806354426334
